Hora y día cuando fue detectado el terremoto;Lugar del epicentro;Magnitud;La mayor intensidad sísmica;Hora y día de la emisión
2023/04/30 18:51;Alta mar de Prefectura de Ibaraki;4.3;2;2023/04/30 18:55
2023/04/30 17:15;Norte de Prefectura de Tokushima;3.4;2;2023/04/30 17:18
2023/04/30 15:04;Alta mar de Prefectura de Ibaraki;4.2;3;2023/04/30 15:08
2023/04/30 14:58;Mares cercanos de Isla Chichishima;3.8;1;2023/04/30 15:03
2023/04/30 11:37;Mares cercanos de Islas de Amamioshima;3.3;2;2023/04/30 11:40
2023/04/30 09:48;Mares cercanos de Islas Tokara;2.4;1;2023/04/30 09:51
2023/04/30 07:21;Alta mar este de Prefectura de Chiba;4.2;1;2023/04/30 07:25
2023/04/30 06:36;Aizu, Prefectura de Fukushima;2.3;2;2023/04/30 06:41
2023/04/30 04:52;Este de Mino, Prefectura de Gifu;3.7;3;2023/04/30 04:55
2023/04/29 16:23;Aizu, Prefectura de Fukushima;2.2;2;2023/04/29 16:27
2023/04/29 11:19;Región Noto, Prefectura de Ishikawa;3.0;1;2023/04/29 11:22
2023/04/29 10:49;Mares cercanos de Isla principal de Okinawa;4.5;1;2023/04/29 10:53
2023/04/28 19:16;Mar de Amakusa;3.5;2;2023/04/28 19:18
2023/04/28 14:54;Norte de Prefectura de Tokushima;3.1;1;2023/04/28 14:57
2023/04/28 12:16;Mar de Amakusa;3.6;2;2023/04/28 12:19
2023/04/28 02:46;Alta mar de Uraga;4.1;1;2023/04/28 02:49
2023/04/27 23:49;Sur de Prefectura de Gunma;2.4;1;2023/04/27 23:52
2023/04/27 19:38;Oeste de región Oshima;3.0;3;2023/04/27 19:42
2023/04/27 17:09;Mares cercanos de Isla principal de Okinawa;4.3;2;2023/04/27 17:12
2023/04/27 08:43;Alta mar de Prefectura de Fukushima;4.2;2;2023/04/27 08:46
2023/04/27 02:43;Mares cercanos de Isla principal de Okinawa;5.4;2;2023/04/27 02:47
2023/04/26 20:40;Alta mar de Uraga;3.6;1;2023/04/26 20:43
2023/04/26 19:40;Alta mar de Prefectura de Ibaraki;3.1;1;2023/04/26 19:42
2023/04/26 14:17;Sur de Prefectura de Ibaraki;3.5;2;2023/04/26 14:20
2023/04/26 02:52;Alta mar de Uraga;3.9;1;2023/04/26 02:55
2023/04/25 12:49;Alta mar de Prefectura de Fukushima;4.3;2;2023/04/25 12:53
2023/04/25 08:32;Alta mar de Prefectura de Iwate;4.1;2;2023/04/25 08:36
2023/04/25 07:59;Norte de Prefectura de Wakayama;2.9;2;2023/04/25 08:03
2023/04/25 00:32;Aizu, Prefectura de Fukushima;2.5;2;2023/04/25 00:35
2023/04/24 18:31;Mar de Hyuga;2.6;1;2023/04/24 18:34
2023/04/24 15:00;Carca de Indonesia;7.1;-;2023/04/24 15:32
2023/04/24 10:29;Centro-Oeste de Mino, Prefectura de Gifu;2.6;1;2023/04/24 10:33
2023/04/24 03:36;Mar de Ariake;2.7;1;2023/04/24 03:39
2023/04/23 21:35;Norte de Prefectura de Wakayama;2.6;2;2023/04/23 21:38
2023/04/23 19:42;Pacífico Meridional;7.3;-;2023/04/23 20:03
2023/04/23 16:33;Mares cercanos de Isla Chichishima;4.3;2;2023/04/23 16:37
2023/04/23 16:22;Nanyo, Prefectura de Ehime;3.6;1;2023/04/23 16:25
2023/04/23 11:09;Alta mar de Prefectura de Ibaraki;3.5;1;2023/04/23 11:13
2023/04/23 10:42;Alta mar de Prefectura de Miyagi;3.8;1;2023/04/23 10:46
2023/04/23 09:45;Aizu, Prefectura de Fukushima;1.8;1;2023/04/23 09:48
2023/04/23 07:45;Norte de Prefectura de Wakayama;2.8;2;2023/04/23 07:48
2023/04/22 22:29;Norte de Prefectura de Okayama;2.7;1;2023/04/22 22:33
2023/04/22 06:54;Región Noto, Prefectura de Ishikawa;2.5;2;2023/04/22 06:57
2023/04/22 05:42;Alta mar de Tomakomai;2.4;2;2023/04/22 05:45
2023/04/22 00:30;Alta mar de Prefectura de Ibaraki;3.4;2;2023/04/22 00:34
2023/04/21 20:41;Alta mar de Prefectura de Fukushima;4.2;2;2023/04/21 20:44
2023/04/21 11:10;Mares cercanos de Isla Ishigaki;4.4;1;2023/04/21 11:13
