id_ubicacion,propiedades aseguradas,monto asegurado,primas emitidas,propiedades aseguradas,monto asegurado.1,id_tipo construcción,year,idcountry
33,40176,373280,1033775,98733,921509,2,2020,2
34,68130,582657,1663242,172742,1486956,2,2020,2
35,32227,277502,785980,79841,693911,2,2020,2
36,17499,143864,1263975,45151,374313,2,2020,2
37,25378,222662,1099597,68195,601559,2,2020,2
38,35081,285043,1514206,90453,739917,2,2020,2
39,15935,123543,1046525,40177,313980,2,2020,2
40,115335,955462,2760362,282321,2343378,2,2020,2
41,17594,155442,449328,43500,379904,2,2020,2
42,23410,180760,482901,54568,419092,2,2020,2
43,57195,478589,1537725,166715,1386458,2,2020,2
44,27515,219547,1034741,67746,541230,2,2020,2
45,30748,223596,1006932,74015,537083,2,2020,2
46,41823,304469,910473,111554,817691,2,2020,2
47,1627,13571,67491,3567,30703,2,2020,2
1,94605,202779,327525,188937,426053,3,2020,2
2,10925,21914,31445,19437,42166,3,2020,2
3,12886,25529,34968,24911,55552,3,2020,2
4,80973,182644,391577,168764,433059,3,2020,2
5,6433,13304,18546,12118,26962,3,2020,2
6,9234,19144,24955,16886,38358,3,2020,2
7,35915,74824,118508,65556,153667,3,2020,2
8,57563,120054,359106,114405,266558,3,2020,2
9,41068,90893,120390,78811,193301,3,2020,2
10,28889,62208,83871,55829,131453,3,2020,2
11,174858,406459,1471203,359838,896674,3,2020,2
12,161204,362643,1880643,328475,804970,3,2020,2
13,630735,1418543,7190565,1258933,3060688,3,2020,2
14,293372,694965,3652050,621081,1561145,3,2020,2
15,27084,49574,73874,49238,104489,3,2020,2
16,10797,21364,28503,19529,43795,3,2020,2
17,14514,26124,34954,26228,53243,3,2020,2
18,8110,17762,26360,16128,38925,3,2020,2
19,14470,28844,63690,29384,66621,3,2020,2
20,30047,62524,81783,54292,123805,3,2020,2
21,70732,116360,156453,112142,222899,3,2020,2
22,96578,170043,741350,161021,347944,3,2020,2
23,434757,697511,1644903,663538,1298502,3,2020,2
24,49716,85540,204328,79690,159625,3,2020,2
25,29824,59771,80667,56390,123832,3,2020,2
